Band1,Band2,Band3,Band4,Band5,Band6
82,67,62,64,87,63
84,65,61,65,87,66
84,67,60,66,87,68
85,66,63,68,89,68
88,71,65,73,94,75
85,71,66,79,90,65
84,69,65,69,90,71
83,69,65,73,89,65
84,70,61,85,84,60
79,67,51,121,69,37
81,67,49,135,59,33
82,67,50,137,62,30
81,66,51,136,60,29
81,69,47,139,61,30
81,67,49,133,60,28
79,61,48,114,62,30
75,57,42,106,61,31
74,56,45,103,63,34
78,60,50,98,72,43
80,64,49,106,77,45
79,66,48,118,76,39
78,68,54,100,80,46
78,64,51,107,80,43
76,58,43,117,63,33
74,55,41,122,57,26
73,54,40,121,55,27
73,55,39,121,55,27
74,55,39,120,56,27
72,54,42,121,56,27
74,55,43,117,57,28
77,59,47,107,66,34
80,62,52,105,73,40
75,55,41,118,65,31
76,56,44,118,68,35
76,58,48,115,73,38
75,59,45,115,70,36
76,57,45,116,65,33
76,55,44,115,63,33
76,60,50,111,68,36
78,58,50,106,68,38
72,53,45,101,55,31
74,54,43,104,51,27
75,55,42,104,55,25
75,56,44,102,57,30
78,60,47,98,66,36
78,64,51,95,72,42
79,66,50,101,74,41
80,66,51,105,75,41
78,65,50,105,74,42
79,65,50,102,75,41
80,64,52,96,76,42
81,66,56,84,87,55
81,65,58,101,95,62
82,67,60,95,94,64
79,64,56,92,86,54
78,59,48,106,74,41
76,56,41,115,65,32
73,54,41,118,61,30
72,55,41,119,61,30
73,55,39,119,61,29
74,54,39,118,60,29
75,54,40,115,59,27
74,55,41,114,59,29
73,53,40,119,60,28
75,53,41,117,58,32
73,54,41,117,59,31
73,55,41,117,60,28
73,54,43,116,62,29
74,55,43,118,61,29
74,55,41,119,62,30
73,54,39,119,61,32
75,55,43,119,64,30
73,56,41,117,63,32
74,53,40,119,58,28
74,55,42,123,59,26
74,55,41,122,59,27
72,54,42,123,59,26
74,55,42,119,57,29
73,54,43,113,55,27
73,55,42,111,58,30
74,56,44,112,60,27
73,54,40,118,57,29
75,54,41,118,56,26
73,54,40,121,57,27
74,55,40,122,58,27
72,52,41,121,59,28
75,54,40,121,59,28
73,54,40,117,55,27
73,54,40,118,55,28
73,55,40,120,59,26
74,53,40,121,58,28
74,54,40,123,57,29
72,54,38,122,59,28
74,52,40,121,57,26
73,54,40,120,58,26
75,56,42,121,63,31
74,55,42,125,65,32
77,57,42,121,70,35
83,65,55,95,78,48
91,75,70,77,92,73
90,74,71,88,99,74
81,65,56,108,80,50
76,57,43,114,66,35
75,56,40,120,64,30
75,56,41,119,64,32
75,59,45,109,64,34
76,61,49,107,67,35
77,62,50,95,73,37
73,56,43,66,46,25
75,53,43,47,30,19
78,61,53,72,67,36
83,66,57,102,85,49
73,59,46,119,72,32
74,57,45,127,67,34
77,58,42,128,69,34
77,57,44,129,70,33
74,57,42,130,70,33
76,58,44,130,71,32
76,60,43,129,70,34
74,58,42,131,69,32
78,58,43,128,68,34
75,58,42,128,68,32
76,58,44,125,66,33
75,58,43,127,66,32
75,57,42,126,69,33
76,56,43,128,70,33
76,57,43,129,69,34
77,57,43,130,71,36
75,58,43,132,68,32
75,56,44,126,63,29
76,56,40,123,67,32
74,56,41,120,62,27
75,55,41,112,60,29
75,55,42,107,57,26
74,55,42,103,54,27
75,57,42,107,55,28
74,57,44,121,66,33
74,58,41,120,66,32
73,55,41,117,56,27
74,55,40,115,51,25
76,55,43,110,51,26
77,63,47,106,68,37
78,66,48,106,71,39
79,65,49,101,69,36
79,65,49,95,68,37
79,65,51,84,68,44
82,64,55,80,69,47
80,66,51,87,70,42
80,64,52,95,81,51
80,63,53,93,92,62
79,62,51,96,90,54
78,60,51,102,88,49
78,61,50,100,88,51
78,62,49,100,89,50
78,60,46,106,87,45
77,59,45,109,86,44
77,59,45,111,87,43
74,60,44,112,86,40
77,62,45,111,86,42
77,60,47,110,85,42
78,61,43,121,88,39
77,58,45,124,76,36
74,57,42,120,63,31
74,57,43,123,60,30
74,57,41,127,65,30
74,55,44,125,60,27
73,55,42,123,57,29
76,55,44,116,57,28
74,55,42,121,61,32
76,56,42,127,62,29
75,59,45,131,67,31
74,57,43,131,63,30
74,56,43,124,63,28
77,59,47,113,67,36
80,62,49,107,70,39
80,65,48,111,71,36
79,65,48,113,72,37
78,65,51,103,76,43
80,64,52,92,78,49
80,60,50,95,70,45
79,62,54,92,83,54
81,60,51,97,73,45
77,58,45,103,60,33
75,56,42,112,54,29
75,55,44,114,54,27
80,65,63,106,85,46
91,81,97,96,114,69
98,92,121,94,133,83
95,87,108,92,123,80
85,72,69,91,92,60
81,67,48,105,71,39
77,67,49,108,69,33
77,66,47,111,70,35
79,65,49,106,70,37
80,67,52,99,75,40
77,63,50,99,68,38
73,55,43,101,54,28
73,53,42,100,53,26
71,54,42,100,53,27
72,56,44,96,55,26
72,56,46,94,56,29
73,55,43,97,53,27
72,54,43,99,54,27
72,56,45,102,57,27
72,56,45,102,57,27
78,63,51,104,83,44
76,61,47,109,88,45
76,60,43,115,86,41
76,60,42,109,84,42
75,59,44,102,83,42
74,59,43,109,86,42
75,60,43,120,86,40
75,60,42,117,86,40
75,59,43,114,87,41
75,61,44,117,90,41
78,62,45,110,84,45
76,61,48,101,84,44
78,61,50,96,89,50
78,63,55,100,93,51
79,64,54,113,78,40
74,57,45,118,65,31
72,57,43,119,63,30
74,58,44,109,66,32
78,62,50,86,84,53
78,59,48,92,82,49
76,60,41,103,81,41
76,60,44,108,87,41
75,59,42,119,87,40
75,61,43,118,87,39
75,59,42,119,87,40
76,60,43,126,89,39
76,60,43,126,88,38
76,59,43,122,87,38
76,59,43,122,88,39
77,60,44,118,88,41
77,62,49,106,84,43
76,59,49,105,80,46
76,57,45,126,72,33
75,57,45,124,69,33
74,57,45,122,68,33
74,57,44,122,70,33
75,57,46,121,71,35
74,57,44,121,67,30
75,57,43,123,68,35
75,58,43,125,72,33
73,58,45,124,72,33
75,57,44,118,72,36
77,59,45,108,80,43
77,62,47,97,91,58
79,60,49,103,83,50
76,56,44,122,58,27
76,58,45,115,59,28
76,56,42,116,57,27
75,56,45,114,58,29
78,56,45,108,60,28
78,59,47,101,59,30
79,60,52,93,63,31
83,65,62,89,74,41
86,71,79,81,94,57
90,80,93,76,115,75
92,83,98,76,124,79
90,80,93,80,117,73
81,67,65,89,84,47
74,58,46,97,59,31
75,57,44,96,52,27
76,57,45,93,54,26
74,57,43,96,54,28
73,56,45,103,54,29
74,57,44,103,54,27
74,57,44,108,63,34
79,63,48,121,68,36
80,66,47,127,62,31
79,65,47,130,60,29
80,66,48,129,64,30
80,65,47,123,61,30
80,64,47,125,61,30
80,64,47,124,64,30
79,63,48,107,69,39
77,60,51,92,80,47
76,60,47,88,89,56
74,60,44,98,93,50
76,59,45,96,92,53
78,60,44,96,92,53
75,60,43,97,90,53
76,59,44,93,89,53
76,58,45,94,82,52
74,56,43,108,66,34
73,53,38,111,55,27
74,54,40,105,52,27
